date,home_team,away_team,home_score,away_score,goal_diff,tournament,country,neutral,home_is_host,elo_diff,home_higher_elo,home_recent_win_rate,away_recent_win_rate,recent_form_diff,home_avg_goals_last10,away_avg_goals_last10,diff_in_avg_goals,home_total_goals_last10,away_total_goals_last10,home_total_conceded_last10,away_total_conceded_last10,diff_in_total_conceded,tournament_weight,match_result
2000-02-10,Hong Kong,Singapore,0,0,0,Friendly,Hong Kong,False,1,-84.0,0,0.3,0.4,-0.10000000000000003,1.3,1.1,0.19999999999999996,13.0,11.0,26.0,9.0,17.0,1,draw
2000-02-10,Kuwait,Turkmenistan,6,1,5,AFC Asian Cup qualification,Kuwait,False,1,177.0,1,0.3,0.3,0.0,1.6,1.5,0.10000000000000009,16.0,15.0,9.0,19.0,-10.0,2,home_win
2000-02-10,Nigeria,South Africa,2,0,2,African Cup of Nations,Nigeria,False,1,-153.0,0,0.5,0.5,0.0,1.3,1.1,0.19999999999999996,13.0,11.0,12.0,6.0,6.0,4,home_win
2000-02-10,Nepal,Yemen,0,3,-3,AFC Asian Cup qualification,Kuwait,True,0,10.0,1,0.4,0.3,0.10000000000000003,1.8,1.2,0.6000000000000001,18.0,12.0,17.0,15.0,2.0,2,away_win
2000-02-10,Cameroon,Tunisia,3,0,3,African Cup of Nations,Ghana,True,0,-103.0,0,0.5,0.6,-0.09999999999999998,1.6,1.6,0.0,16.0,16.0,6.0,7.0,-1.0,4,home_win
2000-02-10,Andorra,Azerbaijan,0,0,0,Malta International Tournament,Malta,True,0,-210.0,0,0.0,0.1,-0.1,0.3,0.6,-0.3,3.0,6.0,29.0,26.0,3.0,2,draw
2000-02-10,Malta,Albania,0,1,-1,Malta International Tournament,Malta,False,1,-119.0,0,0.2,0.4,-0.2,1.1,1.2,-0.09999999999999987,11.0,12.0,17.0,11.0,6.0,2,away_win
2000-02-12,Australia,Slovakia,0,0,0,Friendly,Chile,True,0,-216.0,0,0.4,0.5,-0.09999999999999998,2.5,0.8,1.7,25.0,8.0,16.0,13.0,3.0,1,draw
2000-02-12,Chile,Bulgaria,3,2,1,Friendly,Chile,False,1,55.0,1,0.3,0.4,-0.10000000000000003,1.2,0.9,0.29999999999999993,12.0,9.0,13.0,8.0,5.0,1,home_win
2000-02-12,Colombia,Jamaica,1,0,1,Gold Cup,United States,True,0,75.0,1,0.3,0.4,-0.10000000000000003,1.7,1.2,0.5,17.0,12.0,17.0,14.0,3.0,4,home_win
2000-02-12,South Africa,Tunisia,2,2,0,African Cup of Nations,Ghana,True,0,-7.0,0,0.5,0.5,0.0,1.1,1.5,-0.3999999999999999,11.0,15.0,7.0,10.0,-3.0,4,draw
2000-02-12,United States,Haiti,3,0,3,Gold Cup,United States,False,1,235.0,1,0.5,0.5,0.0,1.3,2.0,-0.7,13.0,20.0,9.0,16.0,-7.0,4,home_win
2000-02-12,Yemen,Turkmenistan,0,1,-1,AFC Asian Cup qualification,Kuwait,True,0,-102.0,0,0.3,0.3,0.0,1.4,1.3,0.09999999999999987,14.0,13.0,15.0,22.0,-7.0,2,away_win
2000-02-13,Syria,North Korea,0,0,0,Friendly,Syria,False,1,233.0,1,0.2,0.1,0.1,1.1,1.0,0.10000000000000009,11.0,10.0,22.0,27.0,-5.0,1,draw
2000-02-13,Costa Rica,Canada,2,2,0,Gold Cup,United States,True,0,46.0,1,0.6,0.5,0.09999999999999998,1.9,1.0,0.8999999999999999,19.0,10.0,12.0,7.0,5.0,4,draw
2000-02-13,Nigeria,Cameroon,2,2,0,African Cup of Nations,Nigeria,False,1,-57.0,0,0.6,0.6,0.0,1.4,1.9,-0.5,14.0,19.0,9.0,6.0,3.0,4,draw
2000-02-13,Dominican Republic,British Virgin Islands,1,0,1,Friendly,Dominican Republic,False,1,24.0,1,0.3,0.3,0.0,0.9,1.4,-0.4999999999999999,9.0,14.0,24.0,25.0,-1.0,1,home_win
2000-02-13,Macau,Brunei,1,0,1,AFC Asian Cup qualification,Macau,False,1,26.0,1,0.2,0.0,0.2,1.3,0.7,0.6000000000000001,13.0,7.0,44.0,34.0,10.0,2,home_win
2000-02-13,Mexico,Trinidad and Tobago,4,0,4,Gold Cup,United States,True,0,171.0,1,0.5,0.5,0.0,1.2,2.5,-1.3,12.0,25.0,9.0,13.0,-4.0,4,home_win
